State Code,State Name,Constituency Code,Constituency Name,Party Code,Party Name,Candidate Code,Candidate Name,Candidate votes,Valid votes in constituency,Total votes in constituency,Victory margin,Vote share,Abbreviation of party name,Party Alliance,Round Number,Winner,Is candidate VIP,Candidate Image,Vote phase,Total votes ignoring nota,Previous party abbreviation (won),Strong Hold Party,District Name(not getting data),Prev election vote share for constituency,Prev election vote share for constituency,Prev election vote share for constituency,Super VIP,Is key fight constituency,Any vip info for gfx,Winning Party abbr,VIP for digital,Region in hindi`
PS01,ANDHRA PRADESH,01501,Araku,459,Yuvajana Shramik Rythu Congress Party,4,Kothapalli Geetha,413191,909614,909614,91398,45.424822589777,YSRCP,OTH,99,Y,NULL,NULL,1,893082,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01502,Srikakulam,441,Telugu Desam,3,Rammohan Naidu Kinjarapu,556163,1051454,1051454,127564,52.8946079480339,TDP,NDA,99,Y,NULL,NULL,1,1045321,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01503,Vizianagaram,441,Telugu Desam,1,Ashok Gajapathi Raju Pusapati,536549,1120316,1120316,106911,47.8926053965083,TDP,NDA,99,Y,NULL,NULL,1,1113788,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01504,Visakhapatnam,097,Bhartiya Janta Party,2,Kambhapati Hari Babu,566832,1163558,1163558,90488,48.7153638105158,BJP,NDA,99,Y,NULL,NULL,1,1156229,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01505,Anakapalle,441,Telugu Desam,2,Muttamsetti Srinivasa Rao (Avanthi),568180,1147572,1147572,47840,49.5114472020516,TDP,NDA,99,Y,NULL,NULL,1,1138976,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01506,Kakinada,441,Telugu Desam,1,Thota Narasimham,514402,1100199,1100199,3431,46.7553172150518,TDP,NDA,99,Y,1,THOTA_NARASIMHAM_TDP_KAKINADA,1,1095841,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01507,Amalapuram,441,Telugu Desam,3,Dr. Pandula Ravindra Babu,594547,1120927,1120927,120576,53.0406056410403,TDP,NDA,99,Y,NULL,NULL,1,1114786,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01508,Rajahmundry,441,Telugu Desam,3,Murali Mohan Maganti,630573,1154381,1154381,167434,54.624292478573,TDP,NDA,99,Y,1,MURALI_MOHAN_TDP_RAJAMANDRY,1,1146925,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01509,Narsapuram,097,Bhartiya Janta Party,2,Gokaraju Ganga Raju,540306,1088951,1088951,85351,49.6170630110418,BJP,NDA,99,Y,1,GOKARAJU_GANGA_RAJU_BJP_NARSAPURAM,1,1080947,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01510,Elluru,441,Telugu Desam,2,Maganti Venkateswara Rao (Babu),549116,1055669,1055669,93810,52.0158761734254,TDP,NDA,99,Y,NULL,NULL,1,1048833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01511,Machilipatnam,441,Telugu Desam,1,Konakalla Narayana Rao,583374,1133270,1133270,80499,51.4770077060121,TDP,NDA,99,Y,1,KONAKALLA_NARAYANA_RAO_TDP_MACHILIPATNAM,1,1125267,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01512,Vijayawada,441,Telugu Desam,2,Kesineni Srinivas (Nani),591245,1192423,1192423,74498,49.5834535366615,TDP,NDA,99,Y,NULL,NULL,1,1187143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01513,Guntur,441,Telugu Desam,2,Jayadev Galla,618417,1244926,1244926,69111,49.6749608611589,TDP,NDA,99,Y,1,JAYADEV_GALLA_TDP_GUNTUR,1,1237330,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01514,Narasaraopet,441,Telugu Desam,3,Sambavisa Rao Rayapati,539966,1097371,1097371,26619,49.2053742942229,TDP,NDA,99,Y,NULL,NULL,1,1092097,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01515,Bapatla,441,Telugu Desam,3,Malyadri Sriram,474821,970198,970198,30048,48.9405781700455,TDP,NDA,99,Y,1,MALYADRI_SRIRAM_TDP_BAPATLA,1,965171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01516,Ongole,459,Yuvajana Shramik Rythu Congress Party,7,Y.V. Subba Reddy,589551,1207538,1207538,15515,48.8225225023788,YSRCP,OTH,99,Y,NULL,NULL,1,1201759,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01517,Nandyal,459,Yuvajana Shramik Rythu Congress Party,6,S.P.Y. Reddy,532763,1029949,1029949,87345,51.7270741298121,YSRCP,OTH,99,Y,NULL,NULL,1,1023849,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01518,Kurnool,459,Yuvajana Shramik Rythu Congress Party,8,Butta Renuka,472782,1065732,1065732,44131,44.3621432385035,YSRCP,OTH,99,Y,1,BUTTA_RENUKA_YSRCP_KURNOOL,1,1056347,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01519,Anantapur,441,Telugu Desam,3,J.C Divakar Reddi,606509,1205054,1205054,61269,50.3303998572679,TDP,NDA,99,Y,NULL,NULL,1,1196256,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01520,Hindupur,441,Telugu Desam,1,Kristappa Nimmala,604291,1177257,1177257,97325,51.3303795769491,TDP,NDA,99,Y,1,KISHTAPPA_NIMMALA_TDP_HINDUPUR,1,1169068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01521,Kadapa,459,Yuvajana Shramik Rythu Congress Party,4,Y.S Avinash Reddy,671835,1200416,1200416,190265,55.9668015364661,YSRCP,OTH,99,Y,NULL,NULL,1,1194358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01522,Nellore,459,Yuvajana Shramik Rythu Congress Party,7,Mekapati Rajamohan Reddy,576396,1187648,1187648,13478,48.5325209721054,YSRCP,OTH,99,Y,1,MEKAPATI_RAJAMOHAN_REDDY_YSRCP_NELLORE,1,1182099,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01523,Tirupati,459,Yuvajana Shramik Rythu Congress Party,7,Varaprasad Rao Velagapalli,580376,1213064,1213064,37425,47.8437676464163,YSRCP,OTH,99,Y,1,VARAPRASAD_RAO_VELAGAPALLI_YSRCP_TIRUPATI,1,1204374,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01524,Rajampet,459,Yuvajana Shramik Rythu Congress Party,6,P.V. Midhun Reddy,601752,1158317,1158317,174762,51.9505006397207,YSRCP,OTH,99,Y,NULL,NULL,1,1151201,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS01,ANDHRA PRADESH,01525,Chittoor,441,Telugu Desam,2,Naramalli Sivaprasad,594862,1198915,1198915,44138,49.6166537105185,TDP,NDA,99,Y,1,NARAMALLI_SIVAPRASAD_TDP_CHITTOOR,1,1191919,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS02,ARUNACHAL PRADESH,02501,Arunachal West,097,Bhartiya Janta Party,1,Kiren Rijiju,169367,335665,335665,41738,50.4570019006989,BJP,NDA,99,Y,NULL,NULL,1,333849,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS02,ARUNACHAL PRADESH,02502,Arunachal East,158,Indian National Congress,1,Ninong Ering,118455,261291,261291,12478,45.3343385943695,CONG,UPA,99,Y,1,NINONG_ERING_CONG_ARUNACHAL_EAST,1,256786,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS03,ASSAM,03503,Autonomous District,158,Indian National Congress,2,Biren Singh Engti,213152,543281,543281,24095,39.2341362312758,CONG,UPA,99,Y,NULL,NULL,2,531533,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS03,ASSAM,03504,Dhubri,035,All India United Democratic Front,4,Badruddin Ajmal,592569,1369624,1369624,229730,43.2650543031852,AIUDF,OTH,99,Y,NULL,NULL,3,1363813,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS03,ASSAM,03505,Kokrajhar,352,Independent,4,Naba Kumar Sarania ( Hira ),634428,1223869,1223869,355779,51.8378585960927,IND,OTH,99,Y,NULL,NULL,3,1205686,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
PS03,ASSAM,03506,Barpeta,035,All India United Democratic Front,4,Sirajuddin Ajmal,394702,1205863,1205863,42341,32.7318835291542,AIUDF,OTH,99,Y,NULL,NULL,3,1201078,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL
